# Permission database for AdvancedLuckPermsGUI
# Format are <pluginName>|<permission>|<desc>|<commands>,|<defaultAssignment>
Brewery|brewery.bypass.teleport|Will despite config-setting not be teleported on login|<l><l>|OP
Lift|lift|Can ride in a lift|<l>lift<br><l>|PLAYER
Lift|lift.change|Can change lift floors|<l><l>|PLAYER
Lift|lift.reload|Reloads the lift plugin|<l><l>|NONE
ConsoleSpamFix|csf.admin|Admin commands access.|<l><l>|OP
PocketGames|pocketgames.commands|Required to be able to use any command.|<l><l>|OP
PocketGames|pocketgames.commands.list|Permission to use the list command.|<l><l>|OP
PocketGames|pocketgames.commands.menu|Permission to use the menu command.|<l><l>|OP
PocketGames|pocketgames.commands.help|Permission to use the help command.|<l><l>|OP
PocketGames|pocketgames.commands.check|Permission to use the check command.|<l><l>|OP
PocketGames|pocketgames.commands.multiplayer|Permission to use the multiplayer command.|<l><l>|OP
PocketGames|pocketgames.commands.duel|Permission to use the duel command.|<l><l>|OP
PocketGames|pocketgames.bypass.enabled|Bypass disabled games.|<l><l>|OP
PocketGames|pocketgames.bypass.world|Bypass disabled games.|<l><l>|OP
PocketGames|pocketgames.restart|Permission to use the game restart button.|<l><l>|OP
PocketGames|pocketgames.sudo|Permission to execute commands for other people.|<l><l>|OP
PocketGames|pocketgames.spectate|Permission to specate other active games.|<l><l>|OP
PocketGames|pocketgames.multiplayer|Permission to open the multiplayer menu.|<l><l>|OP
PocketGames|pocketgames.admin|Permission to use admin commnads.|<l><l>|OP
PocketGames|pocketgames.update|Receive notifications of new updates.|<l><l>|NONE
PlayerShopGUIPlus|playershopguiplus.*|Allows to all PlayerShopGUIPlus commands and shops|<l><l>|OP
PlayerShopGUIPlus|playershopguiplus.playershop.reload|Allows to reload command|<l><l>|OP
PlayerShopGUIPlus|playershopguiplus.playershop.sell|Allows to sell command|<l><l>|OP
PlayerShopGUIPlus|playershopguiplus.bypassgamemode|Allows access to shops when in any gamemode|<l><l>|OP
PlayerShopGUIPlus|playershopguiplus.bypassworld|Allows access to shops when in any world|<l><l>|OP
PlayerShopGUIPlus|playershopguiplus.editshopname|Allows to edit shop name|<l><l>|OP
PlayerShopGUIPlus|playershopguiplus.cancelothers|Allows to cancel other players item lots|<l><l>|OP
Triton|triton.getflag|empty|<l><l>|OP
Triton|triton.setlanguage|empty|<l><l>|PLAYER
Triton|triton.setlanguage.others|empty|<l><l>|OP
Triton|triton.openselector|empty|<l><l>|PLAYER
Triton|triton.reload|empty|<l><l>|OP
Triton|triton.help|empty|<l><l>|PLAYER
Triton|triton.sign|empty|<l><l>|OP
Triton|twin.upload|empty|<l><l>|OP
Triton|twin.download|empty|<l><l>|OP
GangsPlus|gangsplus.*|Access to all GangsPlus commands|<l><l>|OP
GangsPlus|gangsplus.gang.*|Access to all gang related commands|<l><l>|OP
GangsPlus|gangsplus.fight.*|Access to all fight related commands|<l><l>|OP
GangsPlus|gangsplus.gangadmin.*|Access to all admin related commands|<l><l>|OP
GangsPlus|gangsplus.gang.help|Permission required to use the help command|<l><l>|OP
GangsPlus|gangsplus.gang.list|Permission required to use the list command|<l><l>|OP
GangsPlus|gangsplus.gang.top|Permission required to use the top command|<l><l>|OP
GangsPlus|gangsplus.gang.info|Permission required to use the info command|<l><l>|OP
GangsPlus|gangsplus.gang.confirm|Permission required to use the confirm command|<l><l>|OP
GangsPlus|gangsplus.gang.create|Permission required to use the create command|<l><l>|OP
GangsPlus|gangsplus.gang.create.colors|Permission required to use color tags in gang names|<l><l>|OP
GangsPlus|gangsplus.gang.disband|Permission required to use the disband command|<l><l>|OP
GangsPlus|gangsplus.gang.invite|Permission required to use the invite command|<l><l>|OP
GangsPlus|gangsplus.gang.uninvite|Permission required to use the uninvite command|<l><l>|OP
GangsPlus|gangsplus.gang.kick|Permission required to use the kick command|<l><l>|OP
GangsPlus|gangsplus.gang.leave|Permission required to use the leave command|<l><l>|OP
GangsPlus|gangsplus.gang.friendlyfire|Permission required to use the friendlyfire command|<l><l>|OP
GangsPlus|gangsplus.gang.levelup|Permission required to use the levelup command|<l><l>|OP
GangsPlus|gangsplus.gang.promote|Permission required to use the promote command|<l><l>|OP
GangsPlus|gangsplus.gang.demote|Permission required to use the demote command|<l><l>|OP
GangsPlus|gangsplus.gang.deposit|Permission required to use the deposit command|<l><l>|OP
GangsPlus|gangsplus.gang.withdraw|Permission required to use the withdraw command|<l><l>|OP
GangsPlus|gangsplus.gang.listhomes|Permission required to use the listhomes command|<l><l>|OP
GangsPlus|gangsplus.gang.home|Permission required to use the home command|<l><l>|OP
GangsPlus|gangsplus.gang.sethome|Permission required to use the sethome command|<l><l>|OP
GangsPlus|gangsplus.gang.delhome|Permission required to use the delhome command|<l><l>|OP
GangsPlus|gangsplus.gang.playerinfo|Permission required to use the playerinfo command|<l><l>|OP
GangsPlus|gangsplus.gang.regroup|Permission required to use the regroup command|<l><l>|OP
GangsPlus|gangsplus.gang.ally|Permission required to use the ally command|<l><l>|OP
GangsPlus|gangsplus.gang.neutral|Permission required to use the neutral command|<l><l>|OP
GangsPlus|gangsplus.fight.challenge|Permission required to use the fight challenge command|<l><l>|OP
GangsPlus|gangsplus.fight.accept|Permission required to use the fight accept command|<l><l>|OP
GangsPlus|gangsplus.fight.decline|Permission required to use the fight decline command|<l><l>|OP
GangsPlus|gangsplus.fight.join|Permission required to use the fight join command|<l><l>|OP
GangsPlus|gangsplus.fight.leave|Permission required to use the fight leave command|<l><l>|OP
GangsPlus|gangsplus.gangadmin.arena|Permission required to use the admin arena command|<l><l>|OP
GangsPlus|gangsplus.gangadmin.bank|Permission required to use the admin bank command|<l><l>|OP
GangsPlus|gangsplus.gangadmin.disband|Permission required to use the admin disband command|<l><l>|OP
GangsPlus|gangsplus.gangadmin.reload|Permission required to use the admin reload command|<l><l>|OP
GangsPlus|gangsplus.gangadmin.reset|Permission required to use the admin reset command|<l><l>|OP
GangsPlus|gangsplus.gangadmin.resetgang|Permission required to use the admin resetgang command|<l><l>|OP
GangsPlus|gangsplus.gangadmin.socialspy|Permission required to use the admin socialspy command|<l><l>|OP
GangsPlus|gangsplus.gangadmin|Permission required to use the admin command|<l><l>|OP
GangsPlus|gangsplus.gangchat|Permission required to use the gangchat command|<l><l>|OP
GangsPlus|gangsplus.allychat|Permission required to use the allychat command|<l><l>|OP
GangsPlus|gangsplus.fightcommands|Permission required to use commands during fight|<l><l>|OP
GangsPlus|gangsplus.checkbalance|Permission required to see other gangs bank account balance|<l><l>|OP
FeatherBoard|featherboard.toggle.other|Toggle the scoreboard of someone else|<l><l>|NONE
FeatherBoard|featherboard.debug|Debug information|<l><l>|OP
FeatherBoard|featherboard.modules|Manage modules|<l><l>|OP
FeatherBoard|featherboard.manage.scoreboard|Allows you to create/remove/edit a scoreboard|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockbreak.break.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.blockbreak.direction.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.blockbreak.fastbreak.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.blockbreak.frequency.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.blockbreak.noswing.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.blockbreak.wrongblock.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.blockinteract.direction.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.blockinteract.reach.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.blockinteract.speed.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.blockinteract.visible.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.blockplace.against.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.blockplace.autosign.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.blockplace.direction.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.blockplace.fastplace.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.blockplace.noswing.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.blockbreak.reach.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.blockplace.speed.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.chat.captcha.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.chat.color.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.chat.commands.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.chat.text.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.chat.logins.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.chat.relog.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.combined.bedleave.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.combined.improbable.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.combined.munchhausen.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.fight.angle.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.fight.critical.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.fight.direction.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.fight.fastheal.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.fight.godmode.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.fight.noswing.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.fight.pitchpattern.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.fight.reach.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.fight.selfhit.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.fight.speed.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.fight.wrongturn.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.inventory.drop.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.inventory.fastclick.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.inventory.fastconsume.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.inventory.gutenberg.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.inventory.instantbow.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.inventory.instanteat.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.inventory.items.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.inventory.open.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.moving.creativefly.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.moving.morepackets.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.moving.nofall.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.moving.passable.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.moving.survivalfly.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.moving.vehicle.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.moving.vehicle.morepackets.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.moving.vehicle.envelope.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.net.attackfrequency.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.net.flyingfrequency.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.net.keepalivefrequency.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.net.packetfrequency.silent|empty|<l><l>|NONE
NoCheatPlus|nocheatplus.checks.blockbreak.break.liquid|Allow players to break liquid.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockbreak.break|Allow the player to break special blocks.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockbreak.direction|Allow the player to bypass to Direction check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockbreak.fastbreak|Allow the player to bypass the FastBreak check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockbreak.frequency|Allow the player to bypass the Frequency check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockbreak.noswing|Allow the player to bypass the NoSwing check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockbreak.reach|Allow the player to bypass the Reach check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockbreak.wrongblock|Allow the player to bypass the WorngBlock check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockbreak|Allow the player to bypass all BlockBreak checks.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockinteract.direction|Allow the player to bypass to Direction check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockinteract.reach|Allow the player to bypass the Reach check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockinteract.speed|Allow the player to bypass the Speed check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockinteract.visible|Allow the player to bypass the Visible check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockinteract|Allow the player to bypass all BlockInteract checks.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockplace.against.liquids|Allow the player to place blocks against liquids.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockplace.against.air|Allow the player to place blocks against air.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockplace.against|Allow the player to place blocks against other blocks.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockplace.autosign|Allow bypassing the autosign check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockplace.boatsanywhere|Allow the player to place boats on the ground.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockplace.direction|Allow the player to bypass to Direction check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockplace.fastplace|Allow the player to bypass the FastPlace check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockplace.noswing|Allow the player to bypass the NoSwing check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockplace.reach|Allow the player to bypass the Reach check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockplace.speed|Allow the player to bypass the Speed check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.blockplace|Allow the player to bypass all BlockPlace checks.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.chat.captcha|Allow the player to bypass the captcha check (currently the text/commands violation handling would replace it!).|<l><l>|OP
NoCheatPlus|nocheatplus.checks.chat.color|Allow the player to bypass the Color check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.chat.commands|Allow the player to bypass the commands check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.chat.logins|Allow the player to bypass the logins check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.chat.relog|Allow the player to bypass the relog check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.chat.text|Allow the player to bypass the text check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.chat|Allow the player to bypass all Chat checks.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.combined.bedleave|Allow to bypass the bedleave check (fly, god).|<l><l>|OP
NoCheatPlus|nocheatplus.checks.combined.improbable|Allow the player to bypass the Improbable check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.combined.munchhausen|Allow flying with fishing rods! The check is deactivated by default, though.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.combined|Allow the player to bypass all combined checks.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.fight.angle|Allow the player to bypass the Angle check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.fight.critical|Allow the player to bypass the Critical check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.fight.direction|Allow the player to bypass the Direction check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.fight.fastheal|Allow the player to bypass the FastHeal check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.fight.godmode|Allow the player to bypass the GodMode check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.fight.noswing|Allow the player to bypass the NoSwing check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.fight.pitchpattern|Allow the player to bypass the PitchPattern check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.fight.reach|Allow the player to bypass the Reach check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.fight.selfhit|Allow the player to bypass the SelfHit check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.fight.speed|Allow the player to bypass the Speed check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.fight.wrongturn|Allow the player to bypass the WrongTurn check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.fight|Allow the player to bypass all Fight checks.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.inventory.drop|Allow the player to bypass the Drop check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.inventory.fastclick|Allow the player to bypass the FastClick check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.inventory.fastconsume|Allow to bypass the FastConsume check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.inventory.gutenberg|Allow to bypass the Gutenberg check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.inventory.instantbow|Allow the player to bypass the InstantBow check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.inventory.instanteat|Allow the player to bypass the InstantEat check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.inventory.items|Allow the player to bypass the items check (illegal enchantments/dupes).|<l><l>|OP
NoCheatPlus|nocheatplus.checks.inventory.open|Check for open inventories on special transitions, such as teleportation.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.inventory|Allow the player to bypass all Inventory checks.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.moving.creativefly|Allow the player to bypass the CreativeFly check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.moving.morepackets|Allow the player to bypass the MorePackets check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.moving.morepacketsvehicle|Legacy permission! Use instead: nocheatplus.checks.moving.vehicle.morepackets|<l><l>|OP
NoCheatPlus|nocheatplus.checks.moving.nofall|Allow the player to bypass the NoFall check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.moving.passable|Allow bypassing the Passable check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.moving.survivalfly.blocking|Allow the player to move without speed limits and to attack entities while blocking.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.moving.survivalfly.sneaking|Allow the player to move without speed limits while sneaking.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.moving.survivalfly.speeding|Allow the player to move at higher speeds.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.moving.survivalfly.sprinting|Allow the player to sprint backwards.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.moving.survivalfly.step|Allow the player to use the 'step' functionality of his client.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.moving.survivalfly|Allow the player to bypass the SurvivalFly check.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.moving.vehicle.morepackets|Allow bypassing the morepackets check for vehicles.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.moving.vehicle.envelope|Allow bypassing the moving envelope check for vehicles.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.moving.vehicle|Allow bypassing all checks for players moving as passengers of vehicles/other.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.moving|Allow the player to bypass all Moving checks.|<l><l>|OP
NoCheatPlus|nocheatplus.checks.net.attackfrequency|Bypass the AttackFrequency check (attack speed).|<l><l>|OP
NoCheatPlus|nocheatplus.checks.net.flyingfrequency|Bypass the FlyingFrequency check (flying packet spam).|<l><l>|OP
NoCheatPlus|nocheatplus.checks.net.keepalivefrequency|Bypass the KeepAliveFrequency check (keep alive packet spam).|<l><l>|OP
NoCheatPlus|nocheatplus.checks.net.packetfrequency|Bypass the PacketFrequency check (overall packet spam).|<l><l>|OP
NoCheatPlus|nocheatplus.checks.net|Allow a player to bypass the net (packet) checks.|<l><l>|OP
NoCheatPlus|nocheatplus.checks|Allow the player to bypass all checks.|<l><l>|OP
NoCheatPlus|nocheatplus.mods.journey.cavemap|Cave map features (JourneyMap, VoxelMap).|<l><l>|OP
NoCheatPlus|nocheatplus.mods.minecraftautomap.cave|Allow the player to use Minecraft AutoMap's cave mode.|<l><l>|OP
NoCheatPlus|nocheatplus.mods.minecraftautomap.ores|Allow the player to use Minecraft AutoMap's ores detector.|<l><l>|OP
NoCheatPlus|nocheatplus.mods.minecraftautomap.radar|Allow the player to use Minecraft AutoMap's radar.|<l><l>|OP
NoCheatPlus|nocheatplus.mods.minecraftautomap|Allow the player to use the Minecraft AutoMap mod.|<l><l>|OP
NoCheatPlus|nocheatplus.mods.rei|Allow the player to use the Rei's Minimap mod.|<l><l>|OP
NoCheatPlus|nocheatplus.mods|Allow the player to use all the client mods.|<l><l>|OP
NoCheatPlus|nocheatplus.notify|Receive notifications about violations in-game.|<l><l>|OP
NoCheatPlus|nocheatplus.filter.command.nocheatplus|Filter permission to allow using sub commands of the /nocheatplus command. This permission should not be necessary to ever be given to any player unless the permission plugin is incompatible with certain aspects of super-perms.|<l><l>|NONE
NoCheatPlus|nocheatplus.filter.command|Allows use of all commands protected by the command protection, like the ncp root command. Does not give functionality but allow seeing usage and tab-completion of the command. In future there can be many children not listed in this config.|<l><l>|OP
NoCheatPlus|nocheatplus.command.reload|Allow the player to reload NoCheatPlus configuration.|<l><l>|OP
NoCheatPlus|nocheatplus.command.top|Allow to search violation history for top violations.|<l><l>|OP
NoCheatPlus|nocheatplus.command.denylist|Allow use of the ncp denylist command (view players who are denied to login right now).|<l><l>|OP
NoCheatPlus|nocheatplus.command.commands|Allow use of the ncp commands command.|<l><l>|OP
NoCheatPlus|nocheatplus.command.reset|Reset statistics or debugging counters.|<l><l>|OP
NoCheatPlus|nocheatplus.command.debug|Start logging debug information for a player (lots of output, log file).|<l><l>|OP
NoCheatPlus|nocheatplus.command.stopwatch|Stop watch functionality. See tab-completion and feedback.|<l><l>|OP
NoCheatPlus|nocheatplus.command|All command permissions, do not give lightly - if in doubt use shortcut permissions for moderators (nocheatplus.shortcut.monitor|safeadmin ...).|<l><l>|OP
NoCheatPlus|nocheatplus.bypass.denylogin|Bypass the login denial, such as exists with the ncp denylogin command.|<l><l>|OP
NoCheatPlus|nocheatplus.bypass|Bypass other features than checks.|<l><l>|OP
NoCheatPlus|nocheatplus.shortcut.info|Info commands about players.|<l><l>|OP
NoCheatPlus|nocheatplus.shortcut.monitor|All monitoring commands such as player and system info (including plugins).|<l><l>|OP
NoCheatPlus|nocheatplus.shortcut.safeadmin|Permissions for "safe" administration, excluding rather critical operations like reload and action commands like ban/delay (arbitrary console commands!). Fit for "heavy" mods, include temp-kicking and exemptions, does bypass login-denial.|<l><l>|OP
NoCheatPlus|nocheatplus.shortcut.cheater|Allow use of all cheating, excludes bypassing temp-kick and command protection and similar.|<l><l>|OP
NoCheatPlus|nocheatplus.shortcut.bypass|Bypass everything that can be bypassed.|<l><l>|OP
NoCheatPlus|nocheatplus.shortcut|Shortcut permissions designed to be somewhat "safe" to give (see children permissions).|<l><l>|OP
NoCheatPlus|nocheatplus.tester|Monitoring and debugging permissions, including removing data and exemption handling for oneself.|<l><l>|OP
NoCheatPlus|nocheatplus.admin.debug|Receive debugging information (or cause console logs on other occasions).|<l><l>|OP
NoCheatPlus|nocheatplus|Allow the player to bypass all checks and give him all administration permissions.|<l><l>|OP
QuarryCraft|quarrycraft.*|Grants all quarrycraft permissions|<l><l>|OP
QuarryCraft|quarrycraft.buildquarries|Allows the player to actually make their own quarries|<l><l>|PLAYER
QuarryCraft|quarrycraft.use|Allows the player to interact with their own quarries|<l><l>|PLAYER
QuarryCraft|quarrycraft.useall|Allows the player to use all quarries|<l><l>|NONE
StarMail|mail.summon|grants access to summon mail commands|<l>letter<br>package<br>box<br><l>|OP
StarMail|mail.gift|grants access to mail gift commands|<l>giftletter<br>giftpackage<br>giftbox<br><l>|OP
CaulCrafting|caulcrafting.use|Allows you to use the cauldron crafting system|<l><l>|PLAYER
CaulCrafting|caulcrafting.nowaterconsume|Allows you to craft without consuming water layer|<l><l>|NONE
CaulCrafting|caulcrafting.admin.*|Gives access to all caulcrafting admin commands|<l><l>|OP
CaulCrafting|caulcrafting.admin.list|Allows you to show the craft list|<l><l>|OP
CaulCrafting|caulcrafting.admin.create|Allows you to create new cauldron crafts|<l><l>|OP
CaulCrafting|caulcrafting.admin.remove|Allows you to remove a specified craft|<l><l>|OP
DeadSouls|com.darkyen.minecraft.deadsouls.hassoul|Has soul that holds onto their items.|<l><l>|PLAYER
DeadSouls|com.darkyen.minecraft.deadsouls.hassoul.xp|If the player has a soul, it stores their XP|<l><l>|PLAYER
DeadSouls|com.darkyen.minecraft.deadsouls.hassoul.items|If the player has a soul, it stores their items|<l><l>|PLAYER
DeadSouls|com.darkyen.minecraft.deadsouls.souls|List souls with /souls command|<l><l>|PLAYER
DeadSouls|com.darkyen.minecraft.deadsouls.souls.all|/souls displays all souls, even those that are not yours|<l><l>|OP
DeadSouls|com.darkyen.minecraft.deadsouls.souls.free|Free to your souls through /souls command and through quick link|<l><l>|PLAYER
DeadSouls|com.darkyen.minecraft.deadsouls.souls.free.all|Free anyone's soul through /souls command|<l><l>|OP
DeadSouls|com.darkyen.minecraft.deadsouls.souls.goto|Teleport to your souls through /souls command|<l><l>|OP
DeadSouls|com.darkyen.minecraft.deadsouls.souls.goto.all|Teleport to any soul through /souls command|<l><l>|OP
TidyingChest|tc.reload|Allows to reload the configuration.|<l>tc-reload<br><l>|OP
TidyingChest|tc.create|Allows to create a tidying chest.|<l><l>|PLAYER
TidyingChest|tc.create.show_loc|Allows to get existing chests coords when trying to create one|<l><l>|PLAYER
TidyingChest|tc.create.ROOT.unlimited|No limitation for root signs.|<l><l>|NONE
TidyingChest|tc.create.ROOT.default|Use « default » limit for root signs.|<l><l>|PLAYER
TidyingChest|tc.create.TARGET.unlimited|No limitation for target signs.|<l><l>|NONE
TidyingChest|tc.create.TARGET.default|Use « default » limit for target signs.|<l><l>|PLAYER
TidyingChest|tc.create.ROOT.world.*|Allows to create root signs in any world|<l><l>|PLAYER
TidyingChest|tc.create.TARGET.world.*|Allows to create target signs in any world|<l><l>|PLAYER
BetterFarming|betterfarming.farms.<Number>|Give players permission to create specific amount of farms.|<l><l>|OP
BetterFarming|betterfarming.command.get|Access to /BetterFarming get command.|<l><l>|OP
BetterFarming|betterfarming.command.give|Access to /BetterFarming give command.|<l><l>|OP
BetterFarming|betterfarming.command.help|Access to /BetterFarming help command.|<l><l>|OP
BetterFarming|betterfarming.command.*|Access to all BetterFarming commands (no admin commands).|<l><l>|OP
BetterFarming|betterfarming.admin.command.reload|Access to /BetterFarming reload command.|<l><l>|OP
BetterFarming|betterfarming.admin.command.*|Access to all admin commands.|<l><l>|OP
BetterFarming|betterfarming.bypass.block_break|Bypass block break protection.|<l><l>|OP
BetterFarming|betterfarming.bypass.block_place|Bypass block place protection.|<l><l>|OP
BetterFarming|betterfarming.bypass.harvest|Bypass harvest protection.|<l><l>|OP
BetterFarming|betterfarming.bypass.plant|Bypass crop plant protection.|<l><l>|OP
BetterFarming|betterfarming.bypass.interact|Bypass interact block protection.|<l><l>|OP
BetterFarming|betterfarming.bypass.delete|Delete other players farms.|<l><l>|OP
BetterFarming|betterfarming.bypass.menu|Open other players farm menu.|<l><l>|OP
BetterFarming|betterfarming.bypass.*|Bypass all protections.|<l><l>|OP
BetterFarming|betterfarming.*|Access to all Betterfarming actions.|<l><l>|OP
ore-control|ore.control|Base permission|<l>orecontrol<br><l>|OP
ore-control|ore.control.*|Gives access to all Ore Control commands and functions|<l><l>|OP
